Neighborhood,Avg Rent Per Unit,Z-Score,Distance from Palm,Distance from Zabeel,Distance from Jumeirah,Latitude,Longitude
Discovery Gardens,"44,672",-1.53,8.18,26.15,20.73,25.039,55.1445
Dubai Silicon Oasis,"54,417",-1.3,24.96,13.31,16.39,25.1279,55.3863
Jumeirah Village Circle,"60,068",-1.17,9.16,20.56,16.13,25.0602,55.2094
Dubai Sports City,"62,753",-1.1,11.36,22.32,18.28,25.0391,55.2176
Remraam,"67,284",-0.99,16.71,25.27,22.27,25.0014,55.2508
Al Furjan,"73,648",-0.84,9.7,27.28,22.02,25.0252,55.1459
Jumeirah Village Triangle,"82,014",-0.64,8.87,22.78,18.04,25.0473,55.19
Motor City,"83,876",-0.6,12.61,20.9,17.42,25.045,55.2397
Damac Hills,"94,630",-0.34,16.4,22.41,19.37,25.0275,55.2524
Al Sufouh,"95,804",-0.31,0.7,17.88,12.02,25.1134,55.1762
DIFC,"1,05,183",-0.09,17.86,3.02,3.57,25.2106,55.2794
Business Bay,"1,05,682",-0.08,15.61,5.55,3.45,25.1832,55.2729
Jumeirah Lakes Towers,"1,06,352",-0.06,4.8,23.8,18.03,25.0693,55.1417
Barsha Heights,"1,11,804",0.07,4.1,19.08,13.48,25.097,55.1776
Emirates Living,"1,14,422",0.13,7.82,23.43,18.36,25.0496,55.174
Dubai Marina,"1,15,236",0.15,3.55,23.02,17.12,25.0805,55.1403
Dubai Investments Park,"1,16,379",0.18,15.3,30.13,25.71,24.979,55.1762
Jumeirah Beach Residence,"1,43,520",0.83,3.97,23.75,17.82,25.0769,55.1341
Dubai Festival City,"1,51,341",1.02,25.23,5.6,11.81,25.2171,55.3614
Downtown,"1,53,546",1.07,16.77,4.19,3.41,25.195,55.2784
Zabeel,"1,76,213",1.61,20.84,0,6.57,25.2231,55.3061
Jumeirah,"1,80,180",1.71,14.59,6.57,0,25.2016,55.2453
Palm Jumeirah,"2,04,430",2.29,0,20.84,14.59,25.1124,55.139
